date;setor;codigo;acao;tipo;qtde_teorica;part_percent;part_acum_percent
2025-03-28;Diversos;YDUQ3;YDUQS PART;ON      NM;277677050.0;0.159;2.026;
2025-03-28;Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON  EJ  NM;476976044.0;0.435;0.959;
2025-03-28;Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211783588.0;0.187;0.959;
2025-03-28;Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;314150156.0;0.337;0.959;
2025-03-28;Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5857796242.0;2.665;2.665;
2025-03-28;Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1484426957.0;0.812;18.245;
2025-03-28;Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5129958973.0;3.126;18.245;
2025-03-28;Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2842613858.0;3.817;18.245;
2025-03-28;Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1287247964.0;2.104;18.245;
2025-03-28;Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN      N1;5272192664.0;7.928;18.245;
2025-03-28;Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;356586730.0;0.458;18.245;
2025-03-28;Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;637332335.0;1.204;2.125;
2025-03-28;Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON  ATZ NM;517500000.0;0.368;2.125;
2025-03-28;Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81838243.0;0.198;2.125;
2025-03-28;Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;182560698.0;0.355;2.125;
2025-03-28;Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON  EJ  NM;5392540963.0;3.127;3.127;
2025-03-28;Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;765785673.0;0.687;2.278;
2025-03-28;Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;630821784.0;1.591;2.278;
2025-03-28;Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250969312.0;0.216;12.326;
2025-03-28;Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1646519336.0;0.486;12.326;
2025-03-28;Mats Básicos / Mineração;VALE3;VALE;ON      NM;4270903023.0;11.624;12.326;
2025-03-28;Mats Básicos / Químicos;BRKM5;BRASKEM;PNA ATZ N1;265388400.0;0.146;0.146;
2025-03-28;Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1242683687.0;1.011;1.786;
2025-03-28;Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;649238303.0;0.293;1.786;
2025-03-28;Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727459637.0;0.339;1.786;
2025-03-28;Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515193199.0;0.143;1.786;
2025-03-28;Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON  ATZ NM;460791208.0;0.499;16.683;
2025-03-28;Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1150987430.0;0.418;16.683;
2025-03-28;Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2255782178.0;4.379;16.683;
2025-03-28;Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4431132660.0;7.812;16.683;
2025-03-28;Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275170410.0;0.216;16.683;
2025-03-28;Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;779999989.0;1.484;16.683;
2025-03-28;Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1198936529.0;0.107;16.683;
2025-03-28;Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1090134379.0;0.9;16.683;
2025-03-28;Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON  EJ  NM;1023538460.0;0.868;16.683;
2025-03-28;Saúde/Comércio Distr.;HYPE3;HYPERA;ON  EJ  NM;370735677.0;0.338;1.494;
2025-03-28;Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1286616979.0;1.156;1.494;
2025-03-28;Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;455988366.0;0.255;2.316;
2025-03-28;Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4779395040.0;0.526;2.316;
2025-03-28;Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON  EJ  NM;1145289019.0;1.535;2.316;
2025-03-28;Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;389635155.0;0.051;0.888;
2025-03-28;Tec.Informação/Programas Servs;TOTS3;TOTVS;ON  EJ  NM;540206440.0;0.837;0.888;
2025-03-28;Telecomunicação;VIVT3;TELEF BRASIL;ON  EJ;382442128.0;0.902;1.579;
2025-03-28;Telecomunicação;TIMS3;TIM;ON      NM;807495418.0;0.677;1.579;
2025-03-28;Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;683508568.0;3.327;3.327;
2025-03-28;Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;323738747.0;0.118;11.452;
2025-03-28;Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN  EJ  N1;1858636840.0;0.906;11.452;
2025-03-28;Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1679233590.0;0.828;11.452;
2025-03-28;Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187732538.0;0.332;11.452;
2025-03-28;Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1977170723.0;3.856;11.452;
2025-03-28;Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268875696.0;0.569;11.452;
2025-03-28;Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;326175300.0;0.625;11.452;
2025-03-28;Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1929556616.0;1.07;11.452;
2025-03-28;Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255236938.0;0.466;11.452;
2025-03-28;Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1253541010.0;1.916;11.452;
2025-03-28;Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN      N1;395801044.0;0.419;11.452;
2025-03-28;Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218568234.0;0.347;11.452;
