date;setor;codigo;acao;tipo;qtde_teorica;part_percent;part_acum_percent
18/03/2025;Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;194261422.0;0.165;0.165
18/03/2025;Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;136643320.0;0.141;1.002
18/03/2025;Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;1051120777.0;0.625;1.002
18/03/2025;Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;353448195.0;0.171;1.002
18/03/2025;Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;293689428.0;0.065;1.002
18/03/2025;Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;125446075.0;0.104;0.104
18/03/2025;Consumo Cíclico/Autos e Motos;AMOB3;AUTOMOB;ON      NM;533959816.0;0.008;0.008
18/03/2025;Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;273755006.0;0.304;0.395
18/03/2025;Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;377241484.0;0.091;0.395
18/03/2025;Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;525591097.0;0.051;0.051
18/03/2025;Diversos;COGN3;COGNA ON;ON      NM;1872454628.0;0.157;1.939
18/03/2025;Diversos;RENT3;LOCALIZA;ON      NM;965986531.0;1.534;1.939
18/03/2025;Diversos;VAMO3;VAMOS;ON      NM;485166826.0;0.097;1.939
18/03/2025;Diversos;YDUQ3;YDUQS PART;ON  ATZ NM;277677050.0;0.151;1.939
18/03/2025;Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;476976044.0;0.441;0.983
18/03/2025;Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211783588.0;0.192;0.983
18/03/2025;Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;314150156.0;0.35;0.983
18/03/2025;Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5857796242.0;2.651;2.651
18/03/2025;Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON      N1;1484426957.0;0.797;18.305
18/03/2025;Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN      N1;5129958973.0;3.005;18.305
18/03/2025;Financ e Outros / Interms Financs;BBAS3;BRASIL;ON  EX  NM;2842613858.0;3.85;18.305
18/03/2025;Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1287247964.0;2.138;18.305
18/03/2025;Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EB  N1;5272192664.0;8.06;18.305
18/03/2025;Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;356586730.0;0.455;18.305
18/03/2025;Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;637332335.0;1.213;2.145
18/03/2025;Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;517500000.0;0.395;2.145
18/03/2025;Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81838243.0;0.19;2.145
18/03/2025;Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;182560698.0;0.347;2.145
18/03/2025;Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5392540963.0;3.187;3.187
18/03/2025;Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;765785673.0;0.723;2.362
18/03/2025;Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;630821784.0;1.639;2.362
18/03/2025;Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250969312.0;0.212;12.311
18/03/2025;Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1646519336.0;0.493;12.311
18/03/2025;Mats Básicos / Mineração;VALE3;VALE;ON  ED  NM;4270903023.0;11.606;12.311
18/03/2025;Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265388400.0;0.144;0.144
18/03/2025;Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1242683687.0;1.017;1.802
18/03/2025;Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;649238303.0;0.292;1.802
18/03/2025;Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727459637.0;0.349;1.802
18/03/2025;Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515193199.0;0.144;1.802
18/03/2025;Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;460791208.0;0.399;16.231
18/03/2025;Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1150987430.0;0.427;16.231
18/03/2025;Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2255782178.0;4.219;16.231
18/03/2025;Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN  ATZ N2;4431132660.0;7.625;16.231
18/03/2025;Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275170410.0;0.215;16.231
